,vib_max,vib_min,vib_cur,accumulativeprofit,mins_mean_30,mins_ratio,cur_price,beginyear
SH603899,0.219939577039,0.0,0.0242647058824,3.01365226699,16.7516666667,1.65535767585,27.73,2015
SZ002180,0.222344221795,0.0,0.0200967621883,3.58298612786,6.287,4.27867027199,26.9,2007
SZ002855,0.2,0.0,0.0252479711452,1.20353560487,10.7856666667,1.05046821399,11.33,2017
SZ002553,0.506403940887,0.0,0.0194884287454,1.38058363316,7.77233333333,1.058884076,8.23,2011
SH600183,0.221565731167,0.0,0.0203836930456,10.4628966295,3.79366666667,4.44952113171,16.88,2000
SH600276,0.234538534729,0.0,0.0589605295416,67.1822060729,7.898,10.9331476323,86.35,2000
SH600390,0.252272727273,0.0,0.0180952380952,0.854715264456,4.232,2.49763705104,10.57,2001
SZ000058,0.214897260274,0.0,0.0168195718654,0.656883642353,1.83666666667,3.57713248639,6.57,2000
SH603660,0.199170124481,0.0,0.0281420765027,3.24111717745,25.3966666667,1.46869667935,37.3,2016
SZ300233,0.222360635316,0.0,0.0219224283305,1.99299656773,10.8973333333,1.65086259635,17.99,2011
SZ300223,0.221847321805,0.0,0.0461818181818,1.50613042824,12.2133333333,2.30977074236,28.21,2011
SZ300612,0.199793495096,0.0,0.0942677585222,3.72667845612,34.5853333333,1.66139789506,57.46,2017
SZ002097,0.218592964824,0.0,0.012278308322,1.18260654107,5.936,1.23483827493,7.33,2006
SZ002057,0.384337349398,0.0,0.0345699831366,2.72705352424,3.91466666667,3.09604904632,12.12,2006
SH600532,0.221765913758,0.0,0.0304054054054,1.19765193279,2.84866666667,3.18745611982,9.08,2002
SZ000831,0.421319796954,0.0,0.023629489603,1.67377907863,2.37866666667,4.49831838565,10.7,2000
SZ002393,0.211750305998,0.00541928123217,0.0149750415973,0.576103548095,27.9773333333,1.07944526521,30.2,2010
SZ002404,0.160092807425,0.0,0.0119225037258,1.38223743984,5.98033333333,1.13204392174,6.77,2010
SZ002094,0.17532808399,0.0,0.0260293421675,4.46282534127,4.429,4.85436893204,21.5,2006
SZ000059,0.187719298246,0.0,0.0127523910733,2.80254332016,3.277,2.90204455294,9.51,2000
SZ002222,0.220484753714,0.0,0.0330243337196,2.18003684685,4.754,3.71476651241,17.66,2008
SH600353,0.222772277228,0.0,0.0358361774744,2.09291211052,3.77566666667,1.59442041141,6.02,2002
SH603895,0.2,0.0,0.0448654037886,1.95940036146,47.293,1.0938193813,51.73,2018
SZ002417,0.182988248461,0.0,0.0266666666667,0.932121906496,5.93566666667,1.77233672151,10.52,2010
SZ000692,0.222222222222,0.0,0.0387409200969,0.617151932992,2.114,1.95837275307,4.14,2000
SZ300412,0.220540888603,0.0,0.0301075268817,2.15923495227,9.329,1.01297030764,9.45,2014
SZ300522,0.19991015274,0.0,0.0679182771949,1.53353100546,18.119,1.05359015398,19.09,2016
SH603779,0.165084226646,0.0,0.0354430379747,2.43276147953,13.938,1.15798536375,16.14,2016
SH603316,0.200488997555,0.0,0.0272,1.35755666024,11.9133333333,1.07190822608,12.77,2017
SZ002573,0.219494584838,0.0,0.0174193548387,2.56397090372,14.8076666667,1.05148234023,15.57,2011
SH600746,0.222104144527,0.0,0.0229746070133,0.935394631767,1.96,4.22959183673,8.29,2000
SH600305,0.222177256172,0.0,0.0106485963214,4.00015107141,5.73033333333,1.81141294864,10.38,2001
SZ002502,0.222700376547,0.0,0.0215633423181,1.29419364876,7.489,0.992121778609,7.43,2010
SZ001979,0.166422645193,0.0073126142596,0.0237877401647,0.913855131719,13.9176666667,1.58216176083,22.02,2015
SZ002758,0.222222222222,0.0,0.03367003367,1.32897987721,8.68133333333,1.05513745968,9.16,2015
SH600611,0.253521126761,0.0,0.0401606425703,1.59795996374,4.48833333333,1.11177125882,4.99,2000
SH603989,0.210260115607,0.0,0.0326552462527,2.08873279502,25.0606666667,1.52110877604,38.12,2015
SZ000014,0.221447253705,0.0,0.027619047619,4.98016259052,4.61766666667,2.29986284559,10.62,2000
SZ002929,0.200069589422,0.0,0.0791836734694,1.50286631135,48.9423076923,1.05920628684,51.84,2018
SZ002672,0.198,0.0,0.0186418109188,2.08866105021,14.4393333333,1.05475783739,15.23,2012
SZ300237,0.222222222222,0.0,0.0195154777927,4.6466291852,8.29,1.81544028951,15.05,2011
SH600684,0.22206095791,0.0,0.0178861788618,3.22645262968,2.85766666667,2.15560480579,6.16,2000
SZ300036,0.221852928957,0.0,0.0531432274789,2.97556160273,9.132,1.76084099869,16.08,2009
SZ000797,0.218995765275,0.0,0.0395421436004,2.30312979687,2.56166666667,3.82563435264,9.8,2000
SH600396,0.223316912972,0.0,0.0142348754448,0.879647367071,2.75133333333,1.02495759632,2.82,2001
SH601898,0.220611916264,0.00735294117647,0.0314232902033,0.278754135654,3.995,1.36670838548,5.46,2008
SZ000977,0.447820343461,0.0,0.0787244643747,3.54276101948,4.26466666667,4.94763170236,21.1,2000
SZ002900,0.135675675676,0.0,0.037820252135,0.97447432501,24.9153333333,1.01744574961,25.35,2017
SZ002049,0.221975230232,0.0,0.0719914802982,24.3545882035,4.166,11.7714834373,49.04,2005
SZ002620,0.161594202899,0.0,0.0369565217391,1.07233652919,8.68233333333,1.07920297923,9.37,2011
SH600969,0.222058823529,0.00281690140845,0.0114832535885,0.905497562874,3.007,3.48520119721,10.48,2004
